I'm in good health.	Olen terve.
I'm going to get fired.	Tulen saamaan potkut.
Modern philosophy has its beginnings in the 19th century.	Moderni filosofia juontaa alkunsa 19.vuosisadalta.
This is the boy.	Tämä on se poika.
We have seen it.	Me olemme nähneet sen.
I'd like a glass of wine.	Saisinko lasin viiniä?
Tom usually fishes off the dock, but sometimes he fishes from the shore.	Tom tavallisesti kalastaa laiturilta, mutta joskus hän kalastaa rannalta.
Pardon, do you have the time?	Anteeksi, onko sinulla kelloa?
I'll get by.	Tulen kyllä toimeen.
Tom doesn't care what Mary does or doesn't do.	Tomia ei kiinnosta mitä Mary tekee tai ei tee.
I was very tired so I went to bed early.	Olin tosi väsynyt, joten menin aikaisin nukkumaan.
We can't assume this money is Tom's.	Me emme voi olettaa, että nämä rahat ovat Tomin.
I was told you were the one who came up with the idea.	Minulle kerrottiin, että sinä olit se, joka keksi sen idean.
Nobody knows what happened to Tom.	Kukaan ei tiedä mitä Tomille tapahtui.
Poets write poems.	Runoilijat kirjoittavat runoja.
I don't think you did a very thorough job.	Minun mielestäni sinä et tehnyt kovinkaan huolellista työtä.
This camera is Tom's favorite.	Tämä kamera on Tomin suosikki.
Hold this.	Pidä tätä.
This series will be remembered for a long time to come.	Tämä sarja tullaan muistamaan vielä pitkän ajan päästä.
I don't know you anymore.	En tunne sinua enää.
After Tom had eaten everything on his plate, he asked Mary if he could eat her salad.	Sen jälkeen kun Tom oli syönyt lautasensa tyhjäksi, hän kysyi Marilta voisiko hän syödä Marin salaatin.
I found the book by chance.	Löysin kirjan sattumalta.
I was asked to give you a message.	Minua pyydettiin antamaan sinulle viesti.
Is this valuable?	Onko tämä kallisarvoinen?
Tom is playing with his toys.	Tom leikkii leluillaan.
The horse stopped and wouldn't move.	Hevonen pysähtyi eikä halunnut liikkua.
The work is done.	Homma on hoidettu.
We need rain.	Me tarvitsemme sadetta.
Do you want something to eat?	Haluatko jotain syötävää?
Tom watches TV all the time.	Tomi katsoo televisiota koko ajan.
Tom told me he didn't take French in high school.	Tom kertoi minulle, ettei hän opiskellut ranskaa lukiossa.
What's going on?	Mitä täällä oikein tapahtuu?
Why is it here?	Miksi se on täällä?
You used to like me.	Pidit minusta ennen.
I think that our living together has influenced your habits.	Minusta yhdessäasumisemme on vaikuttanut tapoihisi.
Tom must be protected.	Tomia täytyy suojella.
Let me tell you why I don't like Tom.	Minäpä kerron sinulle miksi en pidä Tomista.
Give me something to write with.	Anna minulle jotain, jolla voin kirjoittaa.
Tom accidentally locked himself out of his office.	Tom lukitsi vahingossa itsensä ulos toimistostaan.
Everybody knows Tom can't speak French very well.	Jokainen tietää ettei Tom osaa puhua ranskaa kovin hyvin.
Tom goes to school on foot.	Tom käy koulussa kävellen.
I'm not interested in hearing any of your theories.	Teorioidesi kuunteleminen ei kiinnosta minua.
Do what you think is best.	Tee miten katsot parhaaksi.
I know you'd never let Tom hurt me.	Tiedän, että et antaisi Tomin satuttaa minua koskaan.
You may leave us, Tom.	Voit nyt lähteä, Tom.
How may I be of service?	Kuinka voin auttaa?
Are you sure Tom won't be here?	Oletko varma, ettei Tom ole täällä?
Don't bother calling security.	Älä vaivaudu soittamaan vartijalle.
Why don't they do something?	Miksi he eivät tee jotain?
Tom's partner thought that they should also sell gourmet popcorn seasonings.	Tomin yhtiökumppani oli sitä mieltä, että heidän pitäisi myydä myös gourmetpopcorn-mausteita.
I hope it does not rain tomorrow.	Toivottavasti huomenna ei sada.
It was difficult.	Se oli vaikeaa.
It is safe to skate on this lake.	Tämän järven jäällä on turvallista luistella.
A great man doesn't care about his appearance.	Mahtava mies ei välitä ulkonäöstään.
I didn't mean to eavesdrop on your conversation.	Minun ei ollut tarkoitus salakuunnella keskusteluanne.
I know exactly who Tom wants me to meet.	Tiedän tarkalleen kenet Tom haluaa minun tapaavan.
Tom kneeled.	Tom polvistui.
Tom will be thirty this year.	Tom täyttää tänä vuonna kolmekymmentä.
I sent you a letter.	Lähetin sinulle kirjeen.
It was eight meters long.	Se oli kahdeksan metriä pitkä.
I forgot the map.	Unohdin kartan.
I'd like another glass of water, please.	Haluaisin toisen lasin vettä.
I'm looking forward to the trip.	Odotan matkaa innolla.
If you would talk less and listen more, you might learn something.	Jos puhuisit vähemmän ja kuuntelisit enemmän, saattaisit oppia jotakin.
The report is not quite finished.	Raportti ei ole aivan valmis.
A few years ago, I swore never to fall in love again.	Muutama vuosi sitten vannoin, että en rakastu enää koskaan.
He won't go near the water because he's deathly afraid of jellyfish.	Hän ei mene lähellekään vettä, koska hän pelkää kuollakseen meduusoja.
Tell me your names.	Kertokaa minulle nimenne.
Where did you get that scratch on your cheek?	Mistä sait tuon naarmun poskeesi?
Tom has a private airplane.	Tomilla on yksityislentokone.
I'm not denying it.	En kiellä sitä.
Are you scared of Tom?	Pelkäätkö Tomia?
I can't take it anymore.	En kestä tätä enää.
Can I park my car here?	Voinko pysäköidä autoni tähän?
Make yourself at home.	Ole kuin kotonasi.
Does Tom live far from here?	Asuuko Tomi kaukana täältä?
There's a hole in this bucket.	Tässä ämpärissä on reikä.
We'll go when the rain stops.	Kun sade loppuu, me lähdemme.
Tom is very sociable.	Tom on sosiaalinen.
There are both advantages and disadvantages to city living.	Kaupunkielämässä on omat hyvät ja huonot puolensa.
I asked him for his phone number.	Kysyin häneltä hänen puhelinnumeroaan.
There's something I don't get.	On jotain, mitä en tajua.
Please hold on a moment.	Odottakaa hetkinen.
There won't be a choice.	Ei tule olemaan vaihtoehtoa.
Tom got that nickname in high school.	Tom sai sen lempinimen lukiossa.
Please go home.	Mene kotiin.
You should emphasize that fact.	Sinun pitäisi painottaa tuota tosiasiaa.
I want to be useful.	Haluan olla hyödyllinen.
Does this dress make me look fat?	Saako tämä mekko minut näyttämään lihavalta?
It would be stupid to say yes.	Olisi typerää sanoa kyllä.
You're just not ready.	Et vain ole valmis.
I'm never going to do that.	En koskaan tee sitä.
I bought that car.	Ostin tuon auton.
You're all hungry, aren't you?	Te olette kaikki varmaan nälkäisiä, eikö vain?
We went up the mountain by cable car.	Nousimme vuorelle köysiradalla.
He is no longer the shy boy he was.	Hän ei enää ole se ujo poika, mikä hän oli.
I found it impossible to do the work in one day.	Huomasin mahdottomaksi tehdä työn yhdessä päivässä.
I change my password almost every day.	Vaihdan salasanani melkein joka päivä.
Tom is teaching me how to swim.	Tomi opettaa minua uimaan.
Tom is suffering from depression.	Tomi kärsii masennuksesta.
I forgot to tell Tom.	Unohdin kertoa Tomille.
I don't have it with me.	Minulla ei ole sitä mukana.
Drive carefully.	Aja varovaisesti.
I don't drink anymore.	En juo enää.
When does the concert begin?	Monelta konsertti alkaa?
I'll never forget what Father said then.	En koskaan unohda mitä isä sanoi.
The priest's cassock billowed gently in the wind.	Papin kasukka lepatti lempeästi tuulessa.
My grandmother on my mother's side lives in Osaka.	Isoäitini äitini puolelta asuu Osakassa.
I know you.	Tunnen sinut.
You are so stupid.	Sinä olet niin tyhmä.
I go to the movies every week.	Käyn elokuvissa joka viikko.
Do you want to tell me who they are?	Haluatko kertoa minulle keitä he olivat?
We'll leave you alone.	Jätämme sinut rauhaan.
Tom is wearing a hearing aid.	Tom käyttää kuulolaitetta.
I'm pretty sure Tom's Canadian.	Olen melko varma, että Tom on kanadalainen.
It took slightly more than five minutes for Tom to read the pamphlet.	Tomilta meni hieman yli viisi minuuttia pamfletin lukemiseen.
I want that car.	Haluan tuon auton.
We need to start from scratch.	Meidän täytyy aloittaa nollasta.
Tom wasn't aware that Mary was married.	Tom ei ollut tietoinen siitä, että Mari oli naimisissa.
This blue backpack is heavy.	Tämä sininen reppu on painava.
You're in trouble now.	Sinä olet nyt pulassa.
He read the letter in a loud voice.	Hän luki kirjeen ääneen.
This bridge won't last long.	Silta ei kestä pitkään.
A fire was seen to blaze up far away.	Tulen nähtiin leimahtavan kaukaisuudessa.
Please give me a sheet of paper.	Ole hyvä ja anna minulle paperiarkki.
I already speak French.	Minä puhun jo ranskaa.
Come here and help.	Tule tänne auttamaan.
I threw up three times.	Oksensin kolme kertaa.
We're all Canadians here except Tom.	Me olemme kaikki kanadalaisia paitsi Tomi.
Is there anything you need to tell me?	Onko jotakin mitä sinun tarvitsee kertoa minulle.?
I'll leave this work to you.	Jätän tämän työn sinulle.
I'm a good swimmer.	Olen hyvä uimari.
Would you like to tell me what this is all about?	Voisitko kertoa minulle, mistä tässä on oikein kyse?
Is it a secret?	Onko se salaisuus?
Keep listening.	Jatka kuuntelua.
He's eating breakfast in the cafe.	Hän syö aamiaista kahvilassa.
Tom isn't delusional.	Tom ei ole harhainen.
There wasn't any furniture in that room.	Siinä huoneessa ei ollut mitään kalustusta.
Don't open your mouth.	Älä avaa suutasi!
I have lost my wallet.	Olen kadottanut lompakkoni.
He saw a pretty girl.	Hän näki nätin tytön.
I am very tired.	Olen hyvin väsynyt.
I was alone in the classroom.	Olin yksin luokassa.
Life's too short to drink cheap wine.	Elämä on liian lyhyt halvan viinin juomiseen.
He'll be there in ten minutes.	Hän on täällä kymmenessä minuutissa.
It's very sensitive.	Se on todella arka.
Tom was supposed to help me this afternoon.	Tomin oletettiin auttavan minua tänä iltapäivänä.
It's still very early.	On vielä kovin aikaista.
Even Tom is afraid of Mary.	Jopa Tom pelkää Maria.
I'm not patient.	En ole kärsivällinen.
Where is the Greek embassy?	Missä on Kreikan lähetystö?
She rides her bike to school.	Hän ajaa kouluun pyörällään.
I was very much annoyed with him.	Hän ärsytti minua.
Why are you angry with me?	Miksi olet vihainen minulle?
My primary concern is your safety.	Ensisijainen huoleni on sinun turvallisuutesi.
Are you sure it'll work?	Oletko varma, että se toimii?
Tom refused to speak French.	Tom kieltäytyi puhumasta ranskaa.
I'm pretty excited about it.	Olen aika innoissani siitä.
Do you believe in love at the first sight?	Uskotko rakkauteen ensisilmäyksellä?
These cookies aren't expensive, but they taste good.	Nämä pikkuleivät eivät ole kalliita, mutta ne maistuvat hyviltä.
Did you get an answer from Tom?	Saitko Tomilta vastauksen?
You'd better hurry up.	Sinun on parempi pitää kiirettä.
Tom pretended not to notice that Mary was sleeping.	Tom ei ollut huomaavinaan että Mary oli nukkumassa.
May I have some more coffee?	Saisinko vähän lisää kahvia?
You're splitting hairs.	Tuo nyt on hiusten halkomista.
After working in the hot sun all afternoon, Tom looked hot and tired.	Työskenneltyään koko iltapäivän kuumassa auringossa Tom näytti olevan kuumissaan ja väsynyt.
Michael Jackson has died.	Michael Jackson on kuollut.
Your parents were very proud of you.	Vanhempasi olivat todella ylpeitä sinusta.
Why do you have to put me down all the time?	Miksi sinun täytyy vähätellä minua koko ajan?
They were acting strangely.	He käyttäytyivät kummallisesti.
Tom is in a ton of trouble.	Tom on isoissa vaikeuksissa.
A heavy rain began to fall.	Alkoi sataa rankasti.
Tom carefully lifted the box.	Tomi nosti laatikon varovaisesti.
I'm sure Tom doesn't think that.	Olen varma, että Tom ei ajattele niin.
The Milky Way consists of about a hundred billion stars.	Linnunrata sisältää satoja miljardeja tähtiä.
How long has it been since you heard from him?	Kuinka kauan siitä on, kun viimeksi kuulimme hänestä?
You're all invited.	Teidät kaikki on kutsuttu.
I wasn't sure if I was going to make it.	En ollut varma ehdinkö.
Tom spends too much time on the computer.	Tom viettää liikaa aikaa tietokoneella.
I caught a glimpse of her.	Näin hänestä vilauksen.
I did something stupid.	Tein jotain tyhmää.
The woman downed the gin and lime that was served in one swallow.	Nainen kippasi hänelle tarjotun gini-limen yhdellä kulauksella.
Did you call Tom?	Soititko Tomille?
I really don't remember.	En tosiaankaan muista.
One lives in Fukuoka, and the others live in Niigata.	Yksi asuu Fukuokassa, ja muut asuvat Niigatassa.
Are you guys OK?	Oletteko kunnossa?
As far as I know, he's guilty.	Minun tietääkseni hän on syyllinen.
I'm all ears.	Olen pelkkänä korvana.
Tom is very busy today, but he'll try to fit you in somewhere.	Tomilla on hirveä kiire tänään, mutta hän yrittää löytää sinulle rakosen jostain.
I prefer to write in French.	Kirjoitan mieluummin ranskaksi.
I don't want to be involved in that matter.	En halua sekaantua tuohon asiaan.
He married twice and had more than 20 children.	Hän oli kahdesti naimissa ja hänellä oli enemmän kuin 20 lasta.
He cried out for help.	Hän huusi apua.
Hunger makes anything taste good.	Nälkä saa kaiken maistumaan.
The workers are on strike.	Työntekijät ovat lakossa.
It's your duty to vote.	On velvollisuutesi äänestää.
I like to dance.	Mä tykkään tanssia.
Your advice is always helpful to me.	Neuvosi ovat minulle aina hyödyllisiä.
I phoned.	Soitin.
It's cold there even in the summer.	Siellä on kylmä myös kesäisin.
This is our fault.	Tämä on meidän vikamme.
I should've known you wouldn't like it.	Minun olisi pitänyt tietää, ettet pitäisi siitä.
Tom has been living alone since Mary died.	Tom on elänyt yksin Maryn kuolemasta alkaen.
Would you sing us a song in French?	Laulaisitko meille jonkin laulun ranskaksi?
I can't find my purse.	En löydä lompakkoani.
When should we check out?	Monelta meidän pitää luovuttaa huoneemme?
Tom asked Mary to get him a cup of coffee.	Tom pyysi Maria hakemaan hänelle kupin kahvia.
You seem like a smart person.	Vaikutat fiksulta ihmiseltä.
Would you lend me your pen?	Saanko lainata kynääsi?
You're mad at me, aren't you?	Olet vihainen minulle, vai kuinka?
Which wine would you recommend?	Mitä viiniä sinä suosittelisit?
She is not the kind of person you think she is.	Hän ei ole sellainen ihminen kuin luulet hänen olevan.
Don't you know?	Etkö sinä tiedä?
Tom is no longer in Boston.	Tom ei ole enää Bostonissa.
Tom keeps a spare key hidden in his garden.	Tom pitää vara-avainta kätkettynä puutarhaansa.
The war lasted two years.	Sota kesti kaksi vuotta.
I could have sworn I saw somebody.	Voisin vaikka vannoa, että näin jonkun.
You're not going to do it, I hope.	Toivon todellakin, että et aio tehdä sitä.
That's not a crime.	Se ei ole rikos.
Tom can speak French.	Tom puhuu ranskaa.
I have a little money this month.	Minulla on vähän rahaa tässä kuussa.
This is mine, isn't it?	Tämä on minun, vai kuinka?
